id,path,question,a,b,c,d,answer
train_0001.jpg,train/train_0001.jpg,사진 속 선반에 적힌 문구는 무엇인가요?,SUNDAY BURGER LOVE,MONDAY SALAD TIME,FRIDAY PIZZA PARTY,WEDNESDAY SOUP DAY,a
train_0003.jpg,train/train_0003.jpg,이 광고에서 '트리플 역세권'에 해당하지 않는 역은 어디인가요?,잠실역,몽촌토성역,한성백제역,강남역,d
train_0004.jpg,train/train_0004.jpg,잠실야구장에서는 어떤 주류의 반입이 금지되어 있나요?,알코올 함량 6% 이상 주류,모든 주류,맥주만,와인과 소주만,a
train_0005.jpg,train/train_0005.jpg,이 사진 속에 보이는 빵집의 이름은 무엇인가요?,빵굽는 아저씨,Paris Baguette,Tous les Jours,뚜레쥬르,c
train_0006.jpg,train/train_0006.jpg,왼쪽에 있는 '실버 니들' 차의 맛은 어떻게 설명되어 있나요?,봄의 향과 싱가가 느껴지는 다양한 과일과 꽃의 향,"달콤한 맛, 깊고 풍부한 여운",강한 쓴맛과 진한 향,다질링 특유의 무스카텔 향과 다양하고 섬세한 풍미,b
train_0007.jpg,train/train_0007.jpg,"이 표지판에 따르면, '투게더파크'는 어떤 장소인가요?",자전거를 빌려주는 곳,애완견과 함께 갈 수 있는 공원,400m 거리에 있는 카페,오미마을로 가는 길,b
train_0009.jpg,train/train_0009.jpg,'7번가피자' 가게의 전화번호는 무엇인가요?,T. 999-8888,T. 477-7772~3,T. 555-1234,T. 123-4567,b
train_0011.jpg,train/train_0011.jpg,주문서에 적힌 주문자의 이름은 무엇인가요?,이영희,신승호,박지연,김민수,b
train_0012.jpg,train/train_0012.jpg,이 책의 제목은 무엇인가요?,데이터 사이언스,파이썬 프로그래밍,젠킨스 마스터,리눅스 마스터,c
train_0014.jpg,train/train_0014.jpg,이 사진 속 커피 가격은 150g 기준으로 얼마인가요?,"15,000원","18,000원","16,000원","20,000원",b
train_0015.jpg,train/train_0015.jpg,사진에 보이는 상호명 중 '예고지고 떡창고'가 위치한 곳은 어디인가요?,건물 지하,건물 2층,건물 1층,건물 옥상,c
train_0016.jpg,train/train_0016.jpg,이 표지판에 적힌 문구는 무엇인가요?,노인보호,속도제한,주차금지,어린이보호,a
train_0017.jpg,train/train_0017.jpg,2026년 8월 20일 강남고속버스터미널에서 08:00에 출발하는 버스의 목적지는 어디인가요?,서산,청주,전주,당진,d
train_0018.jpg,train/train_0018.jpg,이 프린터 사용 시 안내 문구에 적힌 내용은 무엇인가요?,결제 없이 바로 이용하세요.,무료로 이용 가능합니다.,결제 후 이용바랍니다.,사용 전 결제해주세요.,c
train_0019.jpg,train/train_0019.jpg,이 건물의 3층에 위치한 병원 이름은 무엇인가요?,헤어똑닥,군센정형외과,서울으뜸치과,LEMONFIT,c
train_0021.jpg,train/train_0021.jpg,2026 NEW CONTENT ACADEMY에서 주최하는 쇼케이스 행사는 언제 열리나요?,9월 1일부터 9월 3일까지,8월 19일부터 8월 21일까지,7월 10일부터 7월 12일까지,10월 5일부터 10월 7일까지,b
train_0022.jpg,train/train_0022.jpg,사진에 보이는 대형 글자들은 무엇이라고 적혀 있나요?,SAFE,SFAFY,SSAFY,SASY,c
train_0023.jpg,train/train_0023.jpg,이 사진 속 빨간색 간판에 적힌 내용은 무엇인가요?,맑은숲 한의원,열린 이비인후과,장영석 치과 2F,삼성언어원,c
train_0024.jpg,train/train_0024.jpg,사진에 보이는 미용실 상호명으로 옳은 것은 무엇인가요?,반려동물 미용,강아지 미용,멍끌림,애견미용,c
train_0025.jpg,train/train_0025.jpg,이 이미지 속 원형 테이블을 둘러싼 의자 개수는 몇 개인가요?,5개,3개,6개,4개,d
train_0028.jpg,train/train_0028.jpg,이 김밥 가게에서 가장 저렴한 김밥은 무엇인가요?,참치김밥,우엉김밥,돈까스김밥,명란김밥,b
train_0029.jpg,train/train_0029.jpg,사진 속 조형물 받침대에 적혀 있는 글자는 무엇인가요?,美食??,埃菲??塔,澳門巴黎人,巴黎人,c
train_0030.jpg,train/train_0030.jpg,이 가게 유리창에 적힌 문구는 무엇인가요?,영업 시간 변경 안내,할인 행사 중입니다,고유가 지원금 사용 가능,신제품 입고 완료,c
train_0031.jpg,train/train_0031.jpg,이 표지판에서 무엇을 주의하라고 안내하고 있나요?,고압주의,미끄럼주의,낙석주의,화재주의,b
train_0032.jpg,train/train_0032.jpg,이 세탁소에서 일반 세탁 요금은 얼마인가요?,"6,000","5,000","8,000","4,000",d
train_0033.jpg,train/train_0033.jpg,이 사진에 보이는 빨간색 문(도리이)에 적힌 글씨는 무엇인가요?,下谷神社,明治神宮,出雲大社,?草寺,a
train_0034.jpg,train/train_0034.jpg,사진에 보이는 은행의 이름은 무엇인가요?,招商?行,建??行,工商?行,中??行,a
train_0035.jpg,train/train_0035.jpg,이 가게의 이름은 무엇인가요?,NOTTING HILL STORE,THE NOTTING HILL BOOKSHOP,THE HILL NOTTING BOOKSHOP,NOTTING BOOKSHOP,b
train_0036.jpg,train/train_0036.jpg,이 이미지에 적힌 'WELCOME TO MACAO' 아래 한글 문구는 무엇입니까?,마카오에 오신 것을 환영함,마카오에 오신 것을 환영한다,마카오에 오신 것을 환영합,마카오에 오신 것을 환영합니다,c
train_0037.jpg,train/train_0037.jpg,사진 속 컵에 적힌 커피숍 이름은 무엇인가요?,FINNBELL COFFEE & BAKERY,Coffee Bean,Waffle Bant,Starbucks,a
train_0039.jpg,train/train_0039.jpg,"승강기 앞 광고판 사용 관련 안내문에 따르면, 무단으로 게시할 경우 부과되는 관리비는 얼마인가요?",1만원,5천원,2만원,3만원,a
train_0040.jpg,train/train_0040.jpg,말풍선 안에 적힌 문장은 무엇인가요?,오늘도 행복한 하루 보내!,별을 잡으면 소원이 이루어진다.,꿈은 꼭 이루어진다!,언니 소원도 모두 이뤄질 거야!,d
train_0041.jpg,train/train_0041.jpg,왼쪽 포스터에 적힌 문구 중 맞는 것은 무엇인가요?,I AM special food It's not a meal,I AM NOT special drink It's just a meal,I AM NOT special food It's just a meal,I AM special drink It's not a meal,c
train_0042.jpg,train/train_0042.jpg,이 배너에서 소개하는 에그타르트가 가장 유명한 지역은 어디인가요?,강남역,홍대입구,성수동,명동,c
train_0043.jpg,train/train_0043.jpg,이미지 속 캔 맥주의 가격은 얼마인가요?,232엔,200엔,300엔,255엔,a
train_0044.jpg,train/train_0044.jpg,복돼지 식당에서 삼겹살 1인분(200g)의 가격은 얼마인가요?,"8,000원","12,000원","15,000원","10,000원",b
train_0045.jpg,train/train_0045.jpg,이 자판기에서 '윤무차' 한 잔의 가격은 얼마인가요?,600원,400원,300원,500원,b
train_0046.jpg,train/train_0046.jpg,오뚜기 즉석 컵라면의 이름은 무엇인가요?,쿡!쿡!쿡! 라면볶이,육!육!육! 라면볶이,쿡!쿡!쿡! 라면찌개,톡!톡!톡! 라면볶이,a
train_0047.jpg,train/train_0047.jpg,화이트보드에 적힌 문구 중 빨간색으로 적힌 내용은 무엇인가요?,가스 잠그기,가스 잠그기! 치갑!! 폰!!,치갑!! 폰!!,가스 잠그기!,d
train_0048.jpg,train/train_0048.jpg,이 샌드위치의 이름은 무엇인가요?,햄 샌드위치,계란 샌드위치,팥붕슈붕 샌드위치,치즈 샌드위치,c
train_0049.jpg,train/train_0049.jpg,사진 속 전기버스에 적힌 문구는 무엇인가요?,전기버스 타고 깨끗한 서울로,전기버스 타고 편안한 서울로,전기버스 타고 숨 쉬는 서울로,전기버스 타고 빠른 서울로,c
train_0050.jpg,train/train_0050.jpg,이 이미지에서 노란 바탕에 적힌 안내 문구는 무엇인가요?,화재 발생 시 대피로,열린마당 안내,소화전 연결송수구,열선구간 굴착주의,d
train_0053.jpg,train/train_0053.jpg,"이 표지판에 따르면, 교육환경보호구역 내에서 제한되는 행위가 아닌 것은 무엇인가요?",유해시설 설치,애완동물 출입,위험물질 반입,오염물질 사용,b
train_0055.jpg,train/train_0055.jpg,C관의 L4 층에 입점해 있는 식당의 이름은 무엇인가요?,小屋?玩,波司登(보스덩),?刻,星空?,b
train_0056.jpg,train/train_0056.jpg,이 길거리 사진에서 보이는 '안양로 320번길' 표지판이 가리키는 방향은 어디인가요?,왼쪽,직진,오른쪽,뒤쪽,c
train_0058.jpg,train/train_0058.jpg,이 건물에 적힌 문구 중 'I ♥ LAOS' 바로 아래에 적힌 글자는 무엇인가요?,COMING SOON,HELLO,PARKSON,SAY,c
train_0059.jpg,train/train_0059.jpg,이 컵에 적혀 있는 문구는 무엇인가요?,HAPPEE BIRTHDAE HARRY,HAPPY BIRTHDAE HARRY,HAPPY BIRTHDAY HARRY,HAPPEE BIRTHDAY HARRY,a
train_0060.jpg,train/train_0060.jpg,이 건물의 안내판에 적힌 '헬스 요가 댄스 3개월 9만원'은 어디에서 제공하는 서비스인가요?,투데이치과,코리아 IT 아카데미,FASTFIVE,spoAny FITNESS,d
train_0061.jpg,train/train_0061.jpg,이 화면에서 축하 메시지와 함께 보여지는 무기의 이름은 무엇인가요?,산탄총 - S686,타임 키퍼 - M416,권총 - P1911,스나이퍼 라이플 - AWM,b
train_0062.jpg,train/train_0062.jpg,이 비상 대피 안내도에서 현재 위치는 어디라고 표시되어 있나요?,비상구 옆,계단 앞,현위치(You are here),소화기 옆,a
train_0063.jpg,train/train_0063.jpg,사진 속 음식점 간판에 적힌 상호명은 무엇인가요?,블루필드,그린필,그린필드 스페이스 치킨 곱배기,그린필드,d
train_0064.jpg,train/train_0064.jpg,이 안내문에 따르면 입실 시간은 언제인가요?,09:00,08:00,07:00,06:00,d
train_0065.jpg,train/train_0065.jpg,이 식당의 상호명은 무엇인가요?,YES! KIDS 놀이방시설 완비,옥천 뼈 구이,전용주차장,송민 뜨끈이,b
